Time,Queue Size,Event
3.125,33,size
3.128,32,size
3.133,33,size
3.136,32,size
3.141,33,size
3.144,32,size
3.149,33,size
3.152,32,size
3.157,33,size
3.16,32,size
3.165,33,size
3.168,32,size
3.176,31,size
3.181,32,size
3.184,31,size
3.189,32,size
3.192,31,size
3.197,32,size
3.2,31,size
3.205,32,size
3.208,31,size
3.213,32,size
3.216,31,size
3.221,32,size
3.224,31,size
3.229,32,size
3.232,31,size
3.237,32,size
3.24,31,size
3.245,32,size
3.248,31,size
3.253,32,size
3.256,31,size
3.261,32,size
3.264,31,size
3.269,32,size
3.272,31,size
3.277,32,size
3.277,33,size
3.28,32,size
3.285,33,size
3.288,32,size
3.293,33,size
3.296,32,size
3.301,33,size
3.304,32,size
3.309,33,size
3.312,32,size
3.317,33,size
3.32,32,size
3.325,33,size
3.328,32,size
3.333,33,size
3.336,32,size
3.341,33,size
3.344,32,size
3.349,33,size
3.352,32,size
3.357,33,size
3.36,32,size
3.365,33,size
3.368,32,size
3.373,33,size
3.376,32,size
3.381,33,size
3.384,32,size
3.389,33,size
3.392,32,size
3.397,33,size
3.4,32,size
3.405,33,size
3.408,32,size
3.413,33,size
3.416,32,size
3.421,33,size
3.424,32,size
3.429,33,size
3.432,32,size
3.437,33,size
3.44,32,size
3.445,33,size
3.448,32,size
3.453,33,size
3.456,32,size
3.461,33,size
3.464,32,size
3.469,33,size
3.472,32,size
3.477,33,size
3.48,32,size
3.485,33,size
3.488,32,size
3.493,33,size
3.496,32,size
3.501,33,size
3.504,32,size
3.509,33,size
3.512,32,size
3.517,33,size
3.52,32,size
3.525,33,size
3.528,32,size
3.533,33,size
3.536,32,size
3.544,31,size
3.552,30,size
3.557,31,size
3.56,30,size
3.568,29,size
3.576,28,size
3.584,27,size
3.592,26,size
3.6,25,size
3.608,24,size
3.616,23,size
3.624,22,size
3.632,21,size
3.64,20,size
3.648,19,size
3.656,18,size
3.664,17,size
3.672,16,size
3.68,15,size
3.688,14,size
3.696,13,size
3.704,12,size
3.712,11,size
3.72,10,size
3.728,9,size
3.736,8,size
3.744,7,size
3.752,6,size
3.76,5,size
3.768,4,size
3.776,3,size
3.784,2,size
3.792,1,size
3.8,0,size
3.909,1,size
3.917,0,size
4.018,1,size
4.026,0,size
4.026,1,size
4.026,2,size
4.034,1,size
4.042,0,size
4.127,1,size
4.135,0,size
4.135,1,size
4.135,2,size
4.143,1,size
4.143,2,size
4.143,3,size
4.151,2,size
4.151,3,size
4.151,4,size
4.159,3,size
4.167,2,size
4.175,1,size
4.183,0,size
4.236,1,size
4.244,0,size
4.244,1,size
4.244,2,size
4.252,1,size
4.252,2,size
4.252,3,size
4.26,2,size
4.26,3,size
4.26,4,size
4.268,3,size
4.268,4,size
4.268,5,size
4.276,4,size
4.276,5,size
4.276,6,size
4.284,5,size
4.284,6,size
4.284,7,size
4.292,6,size
4.292,7,size
4.292,8,size
4.3,7,size
4.308,6,size
4.316,5,size
4.324,4,size
4.332,3,size
4.34,2,size
4.345,3,size
4.345,4,size
4.348,3,size
4.353,4,size
4.353,5,size
