Time,Sequence Number,Event
2.453,214000,ack
2.453,249000,send
2.453,250000,send
2.456,228000,transmit
2.461,215000,ack
2.461,251000,send
2.461,252000,send
2.464,229000,transmit
2.469,216000,ack
2.469,253000,send
2.469,254000,send
2.472,230000,transmit
2.477,217000,ack
2.477,255000,send
2.477,256000,send
2.48,231000,transmit
2.485,218000,ack
2.485,257000,send
2.485,258000,send
2.488,232000,transmit
2.493,219000,ack
2.493,259000,send
2.493,260000,send
2.496,233000,transmit
2.501,220000,ack
2.501,261000,send
2.501,262000,send
2.504,234000,transmit
2.509,221000,ack
2.509,263000,send
2.509,264000,send
2.512,235000,transmit
2.517,222000,ack
2.517,265000,send
2.517,266000,send
2.52,236000,transmit
2.525,223000,ack
2.525,267000,send
2.525,268000,send
2.528,237000,transmit
2.533,224000,ack
2.533,269000,send
2.536,238000,transmit
2.541,225000,ack
2.541,270000,send
2.544,239000,transmit
2.549,226000,ack
2.549,271000,send
2.552,240000,transmit
2.557,227000,ack
2.557,272000,send
2.56,241000,transmit
2.565,228000,ack
2.565,273000,send
2.568,242000,transmit
2.573,229000,ack
2.573,274000,send
2.576,243000,transmit
2.581,230000,ack
2.581,275000,send
2.584,244000,transmit
2.589,231000,ack
2.589,276000,send
2.592,245000,transmit
2.597,232000,ack
2.597,277000,send
2.6,246000,transmit
2.605,233000,ack
2.605,278000,send
2.608,247000,transmit
2.613,234000,ack
2.613,279000,send
2.616,248000,transmit
2.621,235000,ack
2.621,280000,send
2.624,249000,transmit
2.629,236000,ack
2.629,281000,send
2.632,250000,transmit
2.637,237000,ack
2.637,282000,send
2.64,251000,transmit
2.645,238000,ack
2.645,283000,send
2.648,252000,transmit
2.653,239000,ack
2.653,284000,send
2.656,253000,transmit
2.661,240000,ack
2.661,285000,send
2.664,254000,transmit
2.669,241000,ack
2.669,286000,send
2.672,255000,transmit
2.677,242000,ack
2.677,287000,send
2.68,256000,transmit
2.685,243000,ack
2.685,288000,send
2.688,257000,transmit
2.693,244000,ack
2.693,289000,send
2.696,258000,transmit
2.701,245000,ack
2.701,290000,send
2.704,259000,transmit
2.709,246000,ack
2.709,291000,send
2.712,260000,transmit
2.717,247000,ack
2.717,292000,send
2.72,261000,transmit
2.725,248000,ack
2.725,293000,send
2.728,262000,transmit
2.733,249000,ack
2.733,294000,send
2.736,263000,transmit
2.741,250000,ack
2.741,295000,send
2.744,264000,transmit
2.749,251000,ack
2.749,296000,send
2.752,265000,transmit
2.757,252000,ack
2.757,297000,send
2.76,266000,transmit
2.765,253000,ack
2.765,298000,send
2.768,267000,transmit
2.773,254000,ack
2.773,299000,send
2.776,268000,transmit
2.781,255000,ack
2.781,300000,send
2.784,269000,transmit
2.789,256000,ack
2.789,301000,send
2.792,270000,transmit
2.797,257000,ack
2.797,302000,send
2.8,271000,transmit
2.805,258000,ack
2.805,303000,send
2.808,272000,transmit
2.813,259000,ack
2.813,304000,send
2.816,273000,transmit
2.821,260000,ack
2.821,305000,send
2.824,274000,transmit
2.829,261000,ack
2.829,306000,send
2.832,275000,transmit
2.837,262000,ack
2.837,307000,send
2.84,276000,transmit
2.845,263000,ack
2.845,308000,send
2.848,277000,transmit
2.853,264000,ack
2.853,309000,send
2.856,278000,transmit
2.861,265000,ack
2.861,310000,send
2.864,279000,transmit
2.869,266000,ack
2.869,311000,send
2.872,280000,transmit
2.877,267000,ack
2.877,312000,send
2.88,281000,transmit
2.885,268000,ack
2.885,313000,send
2.888,282000,transmit
2.893,269000,ack
2.893,314000,send
2.893,315000,send
2.896,283000,transmit
2.901,270000,ack
2.901,316000,send
2.904,284000,transmit
2.909,271000,ack
2.909,317000,send
2.912,285000,transmit
2.917,272000,ack
2.917,318000,send
2.92,286000,transmit
2.925,273000,ack
2.925,319000,send
2.928,287000,transmit
2.933,274000,ack
2.933,320000,send
2.936,288000,transmit
2.941,275000,ack
2.941,321000,send
2.944,289000,transmit
2.949,276000,ack
2.949,322000,send
2.952,290000,transmit
2.957,277000,ack
2.957,323000,send
2.96,291000,transmit
2.965,278000,ack
2.965,324000,send
2.968,292000,transmit
2.973,279000,ack
2.973,325000,send
2.976,293000,transmit
2.981,280000,ack
2.981,326000,send
2.984,294000,transmit
2.989,281000,ack
2.989,327000,send
2.992,295000,transmit
2.997,282000,ack
2.997,328000,send
3.0,296000,transmit
3.005,283000,ack
3.005,329000,send
3.008,297000,transmit
3.013,284000,ack
3.013,330000,send
3.016,298000,transmit
3.021,285000,ack
3.021,331000,send
3.024,299000,transmit
3.029,286000,ack
3.029,332000,send
3.032,300000,transmit
3.037,287000,ack
3.037,333000,send
3.04,301000,transmit
3.045,288000,ack
3.045,334000,send
3.048,302000,transmit
3.053,289000,ack
3.053,335000,send
3.056,303000,transmit
3.061,290000,ack
3.061,336000,send
3.064,304000,transmit
3.069,291000,ack
3.069,337000,send
3.072,305000,transmit
3.077,292000,ack
3.077,338000,send
3.08,306000,transmit
3.085,293000,ack
3.085,339000,send
3.088,307000,transmit
3.093,294000,ack
3.093,340000,send
3.096,308000,transmit
3.101,295000,ack
3.101,341000,send
3.104,309000,transmit
3.109,296000,ack
3.109,342000,send
3.112,310000,transmit
3.117,297000,ack
3.117,343000,send
3.12,311000,transmit
3.125,298000,ack
3.125,344000,send
3.128,312000,transmit
3.133,299000,ack
3.133,345000,send
3.136,313000,transmit
3.141,300000,ack
3.141,346000,send
3.144,314000,transmit
3.149,301000,ack
3.149,347000,send
3.152,315000,transmit
3.157,302000,ack
3.157,348000,send
3.16,316000,transmit
3.165,303000,ack
3.165,349000,send
3.168,317000,transmit
3.173,304000,ack
3.173,350000,drop
3.176,318000,transmit
3.181,305000,ack
3.181,351000,send
3.184,319000,transmit
3.189,306000,ack
3.189,352000,send
3.192,320000,transmit
3.197,307000,ack
3.197,353000,send
3.2,321000,transmit
3.205,308000,ack
3.205,354000,send
3.208,322000,transmit
3.213,309000,ack
3.213,355000,send
3.216,323000,transmit
3.221,310000,ack
3.221,356000,send
3.224,324000,transmit
3.229,311000,ack
3.229,357000,send
3.232,325000,transmit
3.237,312000,ack
3.237,358000,send
3.24,326000,transmit
3.245,313000,ack
3.245,359000,send
3.248,327000,transmit
3.253,314000,ack
3.253,360000,send
3.256,328000,transmit
3.261,315000,ack
3.261,361000,send
3.264,329000,transmit
3.269,316000,ack
3.269,362000,send
3.272,330000,transmit
3.277,317000,ack
3.277,363000,send
3.277,364000,send
3.28,331000,transmit
3.285,318000,ack
3.285,365000,send
